gene_name,old_annotation,GOs,pfams,signalP,TMHMM
LOC105247778,odorant receptor 13a,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,6
LOC105247779,odorant receptor 46a,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,6
LOC105247781,odorant receptor 4-like isoform X1,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,8
LOC105247783,uncharacterized protein LOC105247783,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,8
LOC105247784,uncharacterized protein LOC105247784,NA,PF16029|Domain of unknown function (DUF4787),2,0
LOC105247785,RPII140-upstream gene protein,NA,PF02466|Tim17/Tim22/Tim23/Pmp24 family,0,1
LOC105247786,protein outspread isoform X1,NA,PF00169|PH domain,0,0
LOC105247787,"transmembrane protein 11 homolog, mitochondrial isoform X2",GO:0007005|mitochondrion organization; GO:0031305|integral component of mitochondrial inner membrane,PF14972|Mitochondrial morphogenesis regulator,0,0
LOC105247788,dehydrogenase/reductase SDR family protein 7-like,NA,PF00106|short chain dehydrogenase,0,1
LOC105247789,ADP-ribosylation factor 2,GO:0005525|GTP binding,PF00025|ADP-ribosylation factor family,0,0
LOC105247792,ankyrin repeat domain-containing protein 17 isoform X1,GO:0003723|RNA binding,PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF00013|KH domain,0,0
LOC105247793,phenylalanine--tRNA ligase beta subunit,GO:0000287|magnesium ion binding; GO:0003723|RNA binding; GO:0004826|phenylalanine-tRNA ligase activity; GO:0005524|ATP binding; GO:0006432|phenylalanyl-tRNA aminoacylation,PF03483|B3/4 domain; PF17759|Phenylalanyl tRNA synthetase beta chain CLM domain; PF03484|tRNA synthetase B5 domain; PF18262|Phe-tRNA synthetase beta subunit B1 domain,0,0
LOC105247794,E3 ubiquitin-protein ligase ZNF598,NA,"PF13920|Zinc finger, C3HC4 type (RING finger)",0,0
LOC105247795,inhibitor of growth protein 1,NA,PF12998|Inhibitor of growth proteins N-terminal histone-binding,0,0
LOC105247796,ubiquitin-conjugating enzyme E2-17 kDa isoform X1,NA,PF00179|Ubiquitin-conjugating enzyme,0,0
LOC105247797,NAD-dependent protein deacetylase sirtuin-1,GO:0070403|NAD+ binding,PF02146|Sir2 family,0,0
LOC105247798,"actin, clone 403",NA,PF00022|Actin,0,0
LOC105247799,histone acetyltransferase KAT2A,"GO:0004402|histone acetyltransferase activity; GO:0005515|protein binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated",PF06466|PCAF (P300/CBP-associated factor) N-terminal domain; PF00583|Acetyltransferase (GNAT) family; PF00439|Bromodomain,0,0
LOC105247800,histone acetyltransferase KAT2A isoform X1,"GO:0004402|histone acetyltransferase activity; GO:0005515|protein binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated",PF00439|Bromodomain; PF06466|PCAF (P300/CBP-associated factor) N-terminal domain; PF00583|Acetyltransferase (GNAT) family,0,0
LOC105247801,"solute carrier family 2, facilitated glucose transporter member 1 isoform X2",GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport,PF00083|Sugar (and other) transporter,0,12
LOC105247802,uncharacterized protein LOC105247802 isoform X1,GO:0043984|histone H4-K16 acetylation; GO:0072487|MSL complex,PF15275|PEHE domain,0,0
LOC105247803,uncharacterized protein LOC105247803,NA,NA,3,0
LOC105247804,NA,NA,NA,NA,NA
LOC105247805,cytochrome c oxidase assembly protein COX19,NA,NA,0,0
LOC105247806,phosphopantothenoylcysteine decarboxylase,GO:0003824|catalytic activity,PF02441|Flavoprotein,0,0
LOC105247807,NA,NA,NA,NA,NA
LOC105247808,matrix metalloproteinase-2-like,GO:0004222|metalloendopeptidase activity; GO:0006508|proteolysis; GO:0008270|zinc ion binding; GO:0031012|extracellular matrix,PF00413|Matrixin; PF00045|Hemopexin; PF00045|Hemopexin; PF00045|Hemopexin; PF01471|Putative peptidoglycan binding domain,2,1
LOC105247809,protein bric-a-brac 2 isoform X1,GO:0003676|nucleic acid binding; GO:0005515|protein binding,"PF00096|Zinc finger, C2H2 type; PF00651|BTB/POZ domain",0,0
LOC105247810,"beta-1,3-galactosyltransferase 1",GO:0006486|protein glycosylation; GO:0008378|galactosyltransferase activity; GO:0016020|membrane,PF01762|Galactosyltransferase,0,1
LOC105247811,AP-3 complex subunit sigma-2 isoform X1,GO:0015031|protein transport,PF01217|Clathrin adaptor complex small chain,0,0
LOC105247812,hepatocyte nuclear factor 4-gamma isoform X1,"GO:0003700|DNA-binding transcription factor activity; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0043565|sequence-specific DNA binding","PF00104|Ligand-binding domain of nuclear hormone receptor; PF00105|Zinc finger, C4 type (two domains)",0,0
LOC105247813,GATA zinc finger domain-containing protein 1,"GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0043565|sequence-specific DNA binding",PF00320|GATA zinc finger,0,0
LOC105247814,"WD repeat, SAM and U-box domain-containing protein 1 isoform X1",GO:0004842|ubiquitin-protein transferase activity; GO:0005515|protein binding; GO:0016567|protein ubiquitination,"PF10313|Uncharacterised protein domain (DUF2415); PF04564|U-box domain; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat",0,0
LOC105247815,G patch domain-containing protein 4,GO:0003676|nucleic acid binding,PF01585|G-patch domain,0,0
LOC105247816,NA,NA,NA,NA,NA
LOC105247817,abnormal spindle-like microcephaly-associated protein homolog,GO:0005515|protein binding,PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif,0,0
LOC105247818,modular serine protease-like,GO:0004252|serine-type endopeptidase activity; GO:0005515|protein binding; GO:0006508|proteolysis,PF00057|Low-density lipoprotein receptor domain class A; PF00084|Sushi repeat (SCR repeat); PF00089|Trypsin,3,0
LOC105247821,uncharacterized protein LOC105247821,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin; PF00089|Trypsin,0,2
LOC105247822,actin-interacting protein 1 isoform X2,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat",0,0
LOC105247823,uncharacterized protein LOC105247823,NA,NA,0,0
LOC105247826,eukaryotic translation initiation factor 3 subunit J,GO:0003743|translation initiation factor activity; GO:0005852|eukaryotic translation initiation factor 3 complex,PF08597|Translation initiation factor eIF3 subunit,0,0
LOC105247827,"alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial",GO:0005759|mitochondrial matrix; GO:0006974|cellular response to DNA damage stimulus; GO:1902445|regulation of mitochondrial membrane permeability involved in programmed necrotic cell death,PF13532|2OG-Fe(II) oxygenase superfamily,0,0
LOC105247828,ATP-dependent DNA helicase DDX11,GO:0003677|DNA binding; GO:0003678|DNA helicase activity; GO:0005524|ATP binding; GO:0006139|nucleobase-containing compound metabolic process,PF13307|Helicase C-terminal domain; PF06733|DEAD_2,0,0
LOC105247829,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L isoform X2,GO:0005515|protein binding; GO:0030914|STAGA complex; GO:0033276|transcription factor TFTC complex,"PF04494|WD40 associated region in TFIID subunit, NTD2 domain; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat",0,0
LOC105247830,triokinase/FMN cyclase,GO:0004371|glycerone kinase activity; GO:0006071|glycerol metabolic process,PF02733|Dak1 domain; PF02734|DAK2 domain,0,0
LOC105247831,carboxypeptidase D isoform X2,GO:0004181|metallocarboxypeptidase activity; GO:0004185|serine-type carboxypeptidase activity; GO:0006508|proteolysis; GO:0008270|zinc ion binding,PF00246|Zinc carboxypeptidase; PF13620|Carboxypeptidase regulatory-like domain,1,0
LOC105247832,mitogen-activated protein kinase kinase kinase 11 isoform X1,GO:0004709|MAP kinase kinase kinase activity; GO:0005515|protein binding; GO:0006468|protein phosphorylation,PF07714|Protein tyrosine kinase; PF14604|Variant SH3 domain,0,0
LOC105247833,aldose 1-epimerase,GO:0005975|carbohydrate metabolic process; GO:0016853|isomerase activity,PF01263|Aldose 1-epimerase,0,0
LOC105247834,exosome complex exonuclease RRP44,GO:0003723|RNA binding; GO:0004540|ribonuclease activity,PF13638|PIN domain; PF17215|S1 domain; PF00773|RNB domain; PF17216|Rrp44-like cold shock domain; PF17849|Dis3-like cold-shock domain 2 (CSD2),0,0
LOC105247835,odorant receptor 46a-like,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,6
LOC105247836,DNA replication complex GINS protein PSF3,NA,PF05916|GINS complex protein,0,0
LOC105247837,putative odorant receptor 85d,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,6
LOC105247838,NA,NA,NA,NA,NA
LOC105247839,52 kDa repressor of the inhibitor of the protein kinase,GO:0003676|nucleic acid binding,PF05485|THAP domain,0,0
LOC105247840,brefeldin A-inhibited guanine nucleotide-exchange protein 2,GO:0005086|ARF guanyl-nucleotide exchange factor activity; GO:0032012|regulation of ARF protein signal transduction,PF01369|Sec7 domain; PF16213|Dimerisation and cyclophilin-binding domain of Mon2; PF09324|Domain of unknown function (DUF1981); PF12783|Guanine nucleotide exchange factor in Golgi transport N-terminal,0,0
LOC105247841,luc7-like protein 3 isoform X1,GO:0003729|mRNA binding; GO:0005685|U1 snRNP; GO:0006376|mRNA splice site selection,PF03194|LUC7 N_terminus,0,0
LOC105247843,LOW QUALITY PROTEIN: mitochondrial glycine transporter,NA,PF00153|Mitochondrial carrier protein; PF00153|Mitochondrial carrier protein; PF00153|Mitochondrial carrier protein,0,0
LOC105247844,Werner Syndrome-like exonuclease,GO:0003676|nucleic acid binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0008408|3'-5' exonuclease activity,PF01612|3'-5' exonuclease,0,0
LOC105247846,"putative lipoyltransferase 2, mitochondrial",GO:0006464|cellular protein modification process,PF03099|Biotin/lipoate A/B protein ligase family,0,0
LOC105247847,ectopic P granules protein 5 homolog isoform X1,GO:0006914|autophagy,NA,0,0
LOC105247848,"heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog isoform X1",GO:0003729|mRNA binding,"PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",0,0
LOC105247849,DNA-directed RNA polymerase III subunit RPC5,"GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0005634|nucleus; GO:0006351|transcription, DNA-templated",PF04801|Sin-like protein conserved region,0,0
LOC105247850,acyl-CoA Delta(11) desaturase,"GO:0006629|lipid metabolic process; GO:0016717|oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water; GO:0055114|oxidation-reduction process",PF00487|Fatty acid desaturase,0,6
LOC105247851,uncharacterized protein LOC105247851,GO:0005576|extracellular region; GO:0006030|chitin metabolic process; GO:0008061|chitin binding,PF01607|Chitin binding Peritrophin-A domain,1,0
LOC105247852,26S proteasome non-ATPase regulatory subunit 9 isoform X2,GO:0070682|proteasome regulatory particle assembly,PF17820|PDZ domain; PF18265|Nas2 N_terminal domain,0,0
LOC105247853,zinc finger protein 37 isoform X1,GO:0003676|nucleic acid binding,"PF13912|C2H2-type zinc finger; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type",0,0
LOC105247854,disrupted in renal carcinoma protein 2 homolog,GO:0005887|integral component of plasma membrane; GO:0055085|transmembrane transport,PF07690|Major Facilitator Superfamily,0,5
LOC105247855,homeobox protein rough,GO:0003677|DNA binding,PF00046|Homeodomain,0,0
LOC105247856,cytochrome P450 4C1 isoform X1,"GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding; GO:0055114|oxidation-reduction process",PF00067|Cytochrome P450,0,1
LOC105247857,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",GO:0050661|NADP binding; GO:0051287|NAD binding,PF14833|NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase; PF03446|NAD binding domain of 6-phosphogluconate dehydrogenase,0,0
LOC105247858,LIM and SH3 domain protein Lasp isoform X2,GO:0005515|protein binding,PF14604|Variant SH3 domain; PF00412|LIM domain; PF00880|Nebulin repeat; PF00880|Nebulin repeat,0,0
LOC105247859,twinfilin isoform X2,GO:0003779|actin binding; GO:0030837|negative regulation of actin filament polymerization,PF00241|Cofilin/tropomyosin-type actin-binding protein; PF00241|Cofilin/tropomyosin-type actin-binding protein,0,0
LOC105247860,cytochrome P450 4C1,"GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding; GO:0055114|oxidation-reduction process",PF00067|Cytochrome P450,0,2
LOC105247861,uncharacterized protein LOC105247861,NA,NA,0,0
LOC105247862,phosphatidylinositol 4-phosphate 5-kinase type-1 alpha isoform X6,GO:0016307|phosphatidylinositol phosphate kinase activity; GO:0046488|phosphatidylinositol metabolic process,PF01504|Phosphatidylinositol-4-phosphate 5-Kinase,0,0
LOC105247863,tropomyosin isoform X12,NA,PF00261|Tropomyosin,0,0
LOC105247864,COMM domain-containing protein 4,NA,PF07258|COMM domain,0,0
LOC105247865,protein tincar isoform X4,NA,NA,0,5
LOC105247866,synaptic vesicle glycoprotein 2B,GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport,PF00083|Sugar (and other) transporter,0,12
LOC105247867,uncharacterized protein LOC105247867,NA,PF00100|Zona pellucida-like domain,1,1
LOC105247868,homeobox protein engrailed isoform X2,GO:0003677|DNA binding,PF00046|Homeodomain; PF10525|Engrailed homeobox C-terminal signature domain,0,0
LOC105247869,homeobox protein engrailed-1a-like,GO:0003677|DNA binding,PF00046|Homeodomain; PF10525|Engrailed homeobox C-terminal signature domain,0,0
LOC105247870,glutamate receptor 3.4,GO:0004970|ionotropic glutamate receptor activity; GO:0016020|membrane,PF10613|Ligated ion channel L-glutamate- and glycine-binding site,0,5
LOC105247872,peroxidase isoform X2,NA,PF03098|Animal haem peroxidase,0,1
LOC105247873,dynactin subunit 1 isoform X1,NA,PF01302|CAP-Gly domain; PF12455|Dynein associated protein,0,0
LOC105247874,nuclear inhibitor of protein phosphatase 1,GO:0005515|protein binding,PF00498|FHA domain,0,0
LOC105247875,"methionine--tRNA ligase, mitochondrial isoform X1",GO:0004812|aminoacyl-tRNA ligase activity; GO:0005524|ATP binding; GO:0006418|tRNA aminoacylation for protein translation,PF09334|tRNA synthetases class I (M),0,0
LOC105247876,casein kinase I isoform X2,GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation,PF00069|Protein kinase domain,0,0
LOC105247877,dopamine receptor 1 isoform X2,GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane,PF00001|7 transmembrane receptor (rhodopsin family),0,7
LOC105247878,uncharacterized protein LOC105247878 isoform X1,GO:0005741|mitochondrial outer membrane; GO:0035694|mitochondrial protein catabolic process,PF16026|Mitochondria-eating protein,0,0
LOC105247879,uncharacterized protein LOC105247879 isoform X1,NA,NA,0,0
LOC105247880,wolframin,NA,NA,0,8
LOC105247881,uncharacterized protein LOC105247881,GO:0004445|inositol-polyphosphate 5-phosphatase activity,NA,0,0
LOC105247882,alpha-sarcoglycan isoform X2,GO:0016012|sarcoglycan complex,PF05510|Sarcoglycan alpha/epsilon,0,1
LOC105247883,coiled-coil domain-containing protein 142,NA,PF14923|Coiled-coil protein 142,0,0
LOC105247884,tubulin alpha chain,GO:0003924|GTPase activity; GO:0005874|microtubule; GO:0007017|microtubule-based process,"PF03953|Tubulin C-terminal domain; PF00091|Tubulin/FtsZ family, GTPase domain",0,0
LOC105247885,vesicular integral-membrane protein VIP36,GO:0016020|membrane,PF03388|Legume-like lectin family,1,1
LOC105247888,uncharacterized protein LOC105247888,NA,PF13927|Immunoglobulin domain; PF08205|CD80-like C2-set immunoglobulin domain,1,1
LOC105247889,uncharacterized protein LOC105247889,GO:0003676|nucleic acid binding; GO:0008270|zinc ion binding,PF00098|Zinc knuckle; PF00098|Zinc knuckle,0,0
LOC105247890,uncharacterized protein LOC105247890 isoform X1,NA,PF01697|Glycosyltransferase family 92,0,0
LOC105247894,"probable cytochrome P450 12a5, mitochondrial","GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding; GO:0055114|oxidation-reduction process",PF00067|Cytochrome P450,0,0
LOC105247895,F-box only protein 28,GO:0005515|protein binding,PF00646|F-box domain,0,0
LOC105247896,uncharacterized protein LOC105247896,NA,PF16064|Domain of unknown function (DUF4806),0,0
LOC105247897,NA,NA,NA,NA,NA
LOC105247899,cilia- and flagella-associated protein 91,NA,PF14738|Cilia- and flagella-associated protein 91,0,0
LOC105247902,ero1-like protein,"GO:0003756|protein disulfide isomerase activity; GO:0005783|endoplasmic reticulum; GO:0016671|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor; GO:0055114|oxidation-reduction process",PF04137|Endoplasmic Reticulum Oxidoreductin 1 (ERO1),1,1
LOC105247904,cytochrome P450 4V2,"GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding; GO:0055114|oxidation-reduction process",PF00067|Cytochrome P450,0,1
LOC105247905,NA,NA,NA,NA,NA
LOC105247906,uncharacterized protein LOC105247906 isoform X1,NA,NA,0,1
LOC105247907,UDP-glucuronosyltransferase 2B31,"GO:0016758|transferase activity, transferring hexosyl groups",PF00201|UDP-glucoronosyl and UDP-glucosyl transferase,0,2
LOC105247908,nuclear migration protein nudC,NA,PF14050|N-terminal conserved domain of Nudc.; PF04969|CS domain,0,0
LOC105247909,coagulation factor VII,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin,0,1
LOC105247910,uncharacterized protein LOC105247910,"GO:0030431|sleep; GO:0032222|regulation of synaptic transmission, cholinergic; GO:1903818|positive regulation of voltage-gated potassium channel activity",PF17064|Sleepless protein,1,2
LOC105247911,uncharacterized protein LOC105247911 isoform X2,NA,PF00168|C2 domain,0,0
LOC105247912,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase,GO:0015016|[heparan sulfate]-glucosamine N-sulfotransferase activity; GO:0016787|hydrolase activity,PF00685|Sulfotransferase domain; PF12062|heparan sulfate-N-deacetylase,0,1
LOC105247913,uncharacterized protein LOC105247913,GO:0008519|ammonium transmembrane transporter activity; GO:0015696|ammonium transport; GO:0016020|membrane,PF00909|Ammonium Transporter Family,0,11
LOC105247914,uncharacterized protein LOC105247914 isoform X1,NA,NA,0,0
LOC105247915,"calcium uniporter protein, mitochondrial",GO:0051560|mitochondrial calcium ion homeostasis,PF04678|Mitochondrial calcium uniporter,0,2
LOC105247916,"dynein heavy chain 2, axonemal",GO:0003777|microtubule motor activity; GO:0005524|ATP binding; GO:0007018|microtubule-based movement; GO:0030286|dynein complex,"PF12775|P-loop containing dynein motor region; PF08385|Dynein heavy chain, N-terminal region 1; PF08393|Dynein heavy chain, N-terminal region 2; PF18199|Dynein heavy chain C-terminal domain; PF12781|ATP-binding dynein motor region; PF17857|AAA+ lid domain; PF03028|Dynein heavy chain region D6 P-loop domain; PF17852|Dynein heavy chain AAA lid domain; PF12774|Hydrolytic ATP binding site of dynein motor region; PF12777|Microtubule-binding stalk of dynein motor; PF12780|P-loop containing dynein motor region D4; PF18198|Dynein heavy chain AAA lid domain",0,0
LOC105247917,chromosome transmission fidelity protein 8 homolog,GO:0007064|mitotic sister chromatid cohesion; GO:0031390|Ctf18 RFC-like complex,PF09696|Ctf8,0,0
LOC105247918,small nuclear ribonucleoprotein F,"GO:0000398|mRNA splicing, via spliceosome; GO:0005732|small nucleolar ribonucleoprotein complex",PF01423|LSM domain,0,0
LOC105247919,leukocyte receptor cluster member 1 homolog,NA,PF10197|N-terminal domain of CBF1 interacting co-repressor CIR,0,0
LOC105247920,tigger transposable element-derived protein 7,NA,PF03221|Tc5 transposase DNA-binding domain,0,0
LOC105247921,histone demethylase UTY isoform X1,GO:0005515|protein binding,"PF02373|JmjC domain, hydroxylase; PF13181|Tetratricopeptide repeat",0,0
LOC105247922,adenylate cyclase type 8 isoform X1,GO:0004016|adenylate cyclase activity; GO:0005886|plasma membrane; GO:0006171|cAMP biosynthetic process; GO:0035556|intracellular signal transduction,PF16214|Adenylyl cyclase N-terminal extracellular and transmembrane region; PF06327|Domain of Unknown Function (DUF1053); PF00211|Adenylate and Guanylate cyclase catalytic domain; PF00211|Adenylate and Guanylate cyclase catalytic domain,0,11
LOC105247923,thiamine transporter 2,GO:0016021|integral component of membrane; GO:0051180|vitamin transport; GO:0090482|vitamin transmembrane transporter activity,PF01770|Reduced folate carrier,0,11
LOC105247925,serine protease inhibitor 88Ea,GO:0005615|extracellular space,PF00079|Serpin (serine protease inhibitor),0,0
LOC105247926,NA,NA,NA,NA,NA
LOC105247927,RCC1 and BTB domain-containing protein 1-like,GO:0005515|protein binding,PF00415|Regulator of chromosome condensation (RCC1) repeat; PF00415|Regulator of chromosome condensation (RCC1) repeat; PF00415|Regulator of chromosome condensation (RCC1) repeat; PF00651|BTB/POZ domain,0,0
LOC105247928,RCC1 and BTB domain-containing protein 2,GO:0005515|protein binding,PF00651|BTB/POZ domain; PF00651|BTB/POZ domain; PF13540|Regulator of chromosome condensation (RCC1) repeat; PF00415|Regulator of chromosome condensation (RCC1) repeat; PF00415|Regulator of chromosome condensation (RCC1) repeat; PF00415|Regulator of chromosome condensation (RCC1) repeat; PF00415|Regulator of chromosome condensation (RCC1) repeat,0,0
LOC105247929,"40S ribosomal protein S12, mitochondrial",GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation,PF00164|Ribosomal protein S12/S23,1,0
LOC105247930,protein giant,GO:0003700|DNA-binding transcription factor activity; GO:0005634|nucleus; GO:0006357|regulation of transcription by RNA polymerase II; GO:0032502|developmental process; GO:0043565|sequence-specific DNA binding,PF07716|Basic region leucine zipper,0,0
LOC105247931,zinc finger protein 511,NA,NA,0,0
LOC105247933,uncharacterized protein LOC105247933 isoform X1,NA,NA,0,0
