sc16a_gene,gene_name,GOs,pfams,signalP,TMHMM,sc16a_ccl_up_down,sc16a_ccd_up_down,ccl_ccd_up_down
Ophio5|1027,XA68_11022,,PF13515.1|FUSC_2,,10,Down,Down,Down
Ophio5|1028,XA68_11023,,PF13419.1|HAD_2;PF13242.1|Hydrolase_like,,NA,Down,Down,Up
Ophio5|1029,XA68_11024,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Down,Down,Up
Ophio5|103,XA68_10068,GO:0003677|DNA binding,PF13369.1|Transglut_core2;PF08755.6|YccV-like,,NA,Up,Down,Down
Ophio5|1030,XA68_11025,,,,NA,Down,Up,Up
Ophio5|1031,XA68_11026,,,,NA,Down,Down,Up
Ophio5|1032,XA68_11027,GO:0003677|DNA binding;GO:0005515|protein binding,PF14633.1|SH2_2;PF14878.1|DLD;PF14639.1|YqgF;PF14635.1|HHH_7;PF14632.1|SPT6_acidic;PF14641.1|HTH_44,,NA,Up,Up,Down
Ophio5|1033,XA68_11028,,,,NA,Up,Up,Down
Ophio5|1034,XA68_11029,GO:0006397|mRNA processing,PF05700.6|BCAS2,,NA,Up,Up,Up
Ophio5|1035,XA68_11030,,PF00027.24|cNMP_binding;PF00027.24|cNMP_binding,,NA,Up,Up,Down
Ophio5|1036,XA68_11031,GO:0070461|SAGA-type complex,PF12767.2|SAGA-Tad1,,NA,Up,Down,Down
Ophio5|1037,XA68_11032,GO:0000226|microtubule cytoskeleton organization;GO:0000922|spindle pole;GO:0005815|microtubule organizing center,PF04130.8|Spc97_Spc98,,NA,Up,Up,Down
Ophio5|1038,XA68_11033,,,,NA,Up,Up,Down
Ophio5|1039,XA68_11034,,,,NA,Up,Up,Down
Ophio5|104,XA68_10103,,,SignalP: has predicted secretion signal,1,Up,Up,Up
Ophio5|1040,XA68_11035,,,,NA,Up,Up,Down
Ophio5|1041,NA,,,,NA,Down,Down,Up
Ophio5|1042,XA68_11037,,,,NA,Up,Up,Down
Ophio5|1043,XA68_11038,,PF01636.18|APH,,NA,Down,Down,Down
Ophio5|1044,XA68_11039,,,,NA,Up,Down,Down
Ophio5|1045,XA68_11040,"GO:0016746|transferase activity, transferring acyl groups;GO:0008152|metabolic process",PF00198.18|2-oxoacid_dh;PF00364.17|Biotin_lipoyl,,NA,Down,Down,Down
Ophio5|1046,XA68_11041,,PF00557.19|Peptidase_M24,,NA,Down,Down,Down
Ophio5|1047,XA68_11042,,PF02953.10|zf-Tim10_DDP,,NA,Up,Up,Up
Ophio5|1048,XA68_11043,,PF10487.4|Nup188,,NA,Up,Up,Up
Ophio5|1049,XA68_11044,GO:0006541|glutamine metabolic process;GO:0016787|hydrolase activity;GO:0004640|phosphoribosylanthranilate isomerase activity;GO:0004425|indole-3-glycerol-phosphate synthase activity;GO:0006568|tryptophan metabolic process,PF00218.16|IGPS;PF00117.23|GATase;PF00697.17|PRAI;PF07722.8|Peptidase_C26,,NA,Down,Down,Up
Ophio5|105,XA68_10104,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,PF00264.15|Tyrosinase,SignalP: has predicted secretion signal,NA,Up,Up,Up
Ophio5|1050,XA68_11045,,,,NA,Down,Up,Up
Ophio5|1051,XA68_11046,,,,1,Down,Down,Up
Ophio5|1052,XA68_11047,,PF08312.7|cwf21,,NA,Up,Up,Down
Ophio5|1053,XA68_11048,,PF07065.9|D123,,NA,Up,Up,Down
Ophio5|1054,XA68_11049,,PF12511.3|DUF3716,,NA,Down,Down,Down
Ophio5|1055,XA68_11050,GO:0031683|G-protein beta/gamma-subunit complex binding;GO:0019001|guanyl nucleotide binding;GO:0005525|GTP binding;GO:0004871|signal transducer activity;GO:0003924|GTPase activity;GO:0007186|G-protein coupled receptor signaling pathway,PF00503.15|G-alpha;PF00025.16|Arf,,NA,Up,Up,Down
Ophio5|1056,XA68_11051,,,,NA,Down,Down,Up
Ophio5|1057,XA68_11052,,,,NA,Down,Down,Up
Ophio5|1058,XA68_11053,GO:0008121|ubiquinol-cytochrome-c reductase activity,PF02939.11|UcrQ,,1,Up,Up,Down
Ophio5|1059,XA68_11054,,PF01145.20|Band_7,,NA,Up,Up,Up
Ophio5|106,XA68_10105,,,,NA,Up,Down,Down
Ophio5|1060,XA68_11055,,,,NA,Down,Down,Down
Ophio5|1061,XA68_11056,,PF05057.9|DUF676;PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5,,1,Up,Up,Down
Ophio5|1062,XA68_11057,,PF04707.9|PRELI,,NA,Down,Down,Up
Ophio5|1063,XA68_11058,,PF01451.16|LMWPc,,NA,Down,Up,Up
Ophio5|1064,XA68_11059,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Down,Down,Up
Ophio5|1065,XA68_11060,,PF11937.3|DUF3455,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Up
Ophio5|1066,XA68_11061,,,,6,Up,Down,Down
Ophio5|1067,XA68_11062,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Down
Ophio5|1068,XA68_11063,GO:0017119|Golgi transport complex,PF04124.7|Dor1;PF04124.7|Dor1,,NA,Down,Down,Down
Ophio5|1069,XA68_11064,,,SignalP: has predicted secretion signal,NA,Down,Down,Down
Ophio5|107,XA68_10106,GO:0015937|coenzyme A biosynthetic process;GO:0004140|dephospho-CoA kinase activity;GO:0005524|ATP binding,PF01121.15|CoaE,,1,Down,Down,Up
Ophio5|1070,XA68_11065,GO:0016787|hydrolase activity,PF00149.23|Metallophos,,NA,Down,Down,Down
Ophio5|1071,XA68_11066,"GO:0016757|transferase activity, transferring glycosyl groups",PF03901.12|Glyco_transf_22,,10,Down,Down,Up
Ophio5|1072,XA68_11067,GO:0016020|membrane;GO:0005216|ion channel activity;GO:0006811|ion transport;GO:0055085|transmembrane transport,PF00520.26|Ion_trans,,5,Down,Down,Up
Ophio5|1073,XA68_11068,GO:0042254|ribosome biogenesis;GO:0001522|pseudouridine synthesis,PF04410.9|Gar1,,NA,Down,Down,Up
Ophio5|1074,XA68_11069,GO:0006508|proteolysis;GO:0008233|peptidase activity,PF04389.12|Peptidase_M28,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|1075,XA68_11070,,,,NA,Up,Up,Down
Ophio5|1076,XA68_11071,,PF05916.6|Sld5,,NA,Up,Up,Down
Ophio5|1077,XA68_11072,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0008270|zinc ion binding;GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus",PF00172.13|Zn_clus,,NA,Down,Down,Down
Ophio5|1078,XA68_11073,,,,NA,Down,Down,Down
Ophio5|1079,XA68_11074,GO:0004827|proline-tRNA ligase activity;GO:0005737|cytoplasm;GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation;GO:0006433|prolyl-tRNA aminoacylation,PF00587.20|tRNA-synt_2b;PF09180.6|ProRS-C_1;PF03129.15|HGTP_anticodon,,NA,Up,Up,Down
Ophio5|108,XA68_10107,"GO:0004571|mannosyl-oligosaccharide 1,2-alpha-mannosidase activity;GO:0016020|membrane;GO:0005509|calcium ion binding",PF01532.15|Glyco_hydro_47,,1,Up,Up,Down
Ophio5|1080,XA68_11075,GO:0044267|cellular protein metabolic process;GO:0005524|ATP binding,PF00118.19|Cpn60_TCP1,,NA,Up,Up,Down
Ophio5|1081,XA68_11076,"GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0008121|ubiquinol-cytochrome-c reductase activity;GO:0051537|2 iron, 2 sulfur cluster binding",PF00355.21|Rieske;PF02921.9|UCR_TM,,NA,Up,Up,Up
Ophio5|1082,XA68_11077,GO:0003676|nucleic acid binding;GO:0005634|nucleus,PF10433.4|MMS1_N;PF03178.10|CPSF_A,,NA,Up,Down,Down
Ophio5|1083,XA68_11078,,,,NA,Down,Down,Down
Ophio5|1084,XA68_11079,,,,1,Up,Up,Down
Ophio5|1085,XA68_11080,"GO:0016757|transferase activity, transferring glycosyl groups;GO:0016020|membrane",PF02434.11|Fringe;PF04646.7|DUF604,,1,Up,Up,Down
Ophio5|1086,XA68_11081,,PF08153.7|NGP1NT,,NA,Up,Down,Down
Ophio5|1087,XA68_11082,,,,1,Down,Down,Down
Ophio5|1088,XA68_11083,,,,NA,Up,Up,Down
Ophio5|1089,XA68_11084,,PF10021.4|DUF2263,,NA,Down,Down,Down
Ophio5|109,XA68_10108,,,,NA,Up,Up,Down
Ophio5|1090,XA68_11085,,PF12537.3|DUF3735;PF12430.3|ABA_GPCR,,5,Down,Down,Down
Ophio5|1091,XA68_11086,,,,NA,Down,Down,=
Ophio5|1092,XA68_11087,,,,NA,Down,Down,Up
Ophio5|1093,XA68_11088,GO:0043086|negative regulation of catalytic activity;GO:0042802|identical protein binding;GO:0006508|proteolysis;GO:0004252|serine-type endopeptidase activity,PF00082.17|Peptidase_S8;PF05922.11|Inhibitor_I9,SignalP: has predicted secretion signal,NA,Down,Down,Up
Ophio5|1094,XA68_11089,,,SignalP: has predicted secretion signal,NA,Up,Up,Up
Ophio5|1095,XA68_11090,,,,NA,Up,Up,Up
Ophio5|1096,XA68_11091,,PF07993.7|NAD_binding_4,,NA,Up,Up,Down
Ophio5|1097,XA68_11092,,,,NA,Down,Up,Up
Ophio5|1098,NA,,,,NA,Up,Up,Up
Ophio5|1099,XA68_11093,,,,NA,Down,Down,Up
Ophio5|11,XA68_10002,,,,NA,Down,Down,Down
Ophio5|110,XA68_10109,,PF02466.14|Tim17,,1,Up,Up,Down
Ophio5|1100,XA68_11094,,,,NA,Down,Down,Up
Ophio5|1101,XA68_11095,,,,7,Down,Down,Down
Ophio5|1102,XA68_11096,GO:0003676|nucleic acid binding,PF00076.17|RRM_1;PF14259.1|RRM_6;PF13893.1|RRM_5,,NA,Down,Up,Up
Ophio5|1103,XA68_11097,GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,PF07690.11|MFS_1;PF07690.11|MFS_1,,12,Up,Up,Down
Ophio5|1104,XA68_11098,,PF05730.6|CFEM,SignalP: has predicted secretion signal,7,Up,Up,Down
Ophio5|1105,XA68_11099,,,,NA,Down,Down,Down
Ophio5|1106,XA68_11100,GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,PF07690.11|MFS_1,,14,Down,Up,Up
Ophio5|1107,XA68_11101,,PF01494.14|FAD_binding_3;PF13450.1|NAD_binding_8;PF00890.19|FAD_binding_2,,1,Down,Down,Down
Ophio5|1108,XA68_11102,,PF10000.4|ACT_3;PF13518.1|HTH_28;PF13551.1|HTH_29;PF13840.1|ACT_7;PF13384.1|HTH_23,,2,Down,Down,Up
Ophio5|1109,XA68_11103,,PF06884.6|DUF1264,,NA,Down,Down,Down
Ophio5|111,XA68_10110,,PF04193.9|PQ-loop;PF04193.9|PQ-loop,,7,Up,Down,Down
Ophio5|1110,XA68_11104,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,=,=,=
Ophio5|1111,XA68_11105,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Up
Ophio5|1112,XA68_11106,,,,NA,Up,Up,Up
Ophio5|1113,XA68_11107,,,,NA,Down,Down,Up
Ophio5|1114,XA68_11108,,,,NA,Down,Down,Down
Ophio5|1115,XA68_11109,,,,NA,Down,Down,Down
Ophio5|1116,XA68_11110,,,,NA,Up,Up,Down
Ophio5|1117,XA68_11111,,,,NA,Up,Up,Down
Ophio5|1118,XA68_11112,,,,NA,Up,Up,Down
Ophio5|1119,XA68_11113,"GO:0003899|DNA-directed RNA polymerase activity;GO:0003677|DNA binding;GO:0006351|transcription, DNA-templated",PF01194.12|RNA_pol_N,,NA,Down,Down,Up
Ophio5|112,XA68_10111,GO:0046872|metal ion binding;GO:0016787|hydrolase activity,PF00293.23|NUDIX;PF09296.6|NUDIX-like;PF09297.6|zf-NADH-PPase,,NA,Down,Down,Down
Ophio5|1120,XA68_11114,"GO:0016706|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors;GO:0055114|oxidation-reduction process;GO:0005515|protein binding;GO:0016491|oxidoreductase activity",PF14226.1|DIOX_N;PF03171.15|2OG-FeII_Oxy;PF00400.27|WD40,,NA,Up,Up,Up
Ophio5|1121,XA68_11115,,,,NA,Up,Up,Down
Ophio5|1122,XA68_11116,,PF12708.2|Pectate_lyase_3;PF12708.2|Pectate_lyase_3,SignalP: has predicted secretion signal,NA,Down,Down,Down
Ophio5|1123,XA68_11117,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Up,Down,Down
Ophio5|1124,XA68_11118,GO:0003676|nucleic acid binding,PF00076.17|RRM_1;PF00076.17|RRM_1;PF00076.17|RRM_1;PF00076.17|RRM_1;PF00076.17|RRM_1;PF14259.1|RRM_6;PF14259.1|RRM_6;PF14259.1|RRM_6;PF14259.1|RRM_6;PF14259.1|RRM_6;PF13893.1|RRM_5;PF13893.1|RRM_5,,NA,Up,Up,Up
Ophio5|1125,XA68_11119,"GO:0005634|nucleus;GO:0006355|regulation of transcription, DNA-templated;GO:0003700|sequence-specific DNA binding transcription factor activity",PF01285.13|TEA,,NA,Up,Up,Down
Ophio5|1126,XA68_11120,,,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|1127,XA68_11121,GO:0003755|peptidyl-prolyl cis-trans isomerase activity;GO:0006457|protein folding,PF00160.16|Pro_isomerase,,NA,Up,Up,Down
Ophio5|1128,XA68_11122,,,,2,Down,Down,Down
Ophio5|1129,XA68_11123,,,,NA,Up,Up,Up
Ophio5|113,XA68_10112,,,,NA,Up,Down,Down
Ophio5|1130,XA68_11124,GO:0005737|cytoplasm;GO:0000045|autophagic vacuole assembly,PF02991.11|Atg8;PF04110.8|APG12,,NA,Up,Down,Down
Ophio5|1131,XA68_11125,,PF08572.5|PRP3;PF06544.7|DUF1115,,NA,Down,Down,Down
Ophio5|1132,XA68_11126,,,,NA,Up,Up,Up
Ophio5|1133,XA68_11127,,,,1,Up,Down,Down
Ophio5|1134,XA68_11128,,,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|1135,XA68_11129,GO:0016787|hydrolase activity,PF00293.23|NUDIX,,NA,Up,Up,Up
Ophio5|1136,XA68_11130,GO:0004601|peroxidase activity;GO:0006979|response to oxidative stress;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,PF00141.18|peroxidase,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|1137,XA68_11131,,,,NA,Down,Down,=
Ophio5|1138,XA68_11132,,,,NA,Down,Down,=
Ophio5|1139,XA68_11133,,,,NA,Down,Down,=
Ophio5|114,XA68_10113,,PF08538.5|DUF1749;PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5,,NA,Down,Down,Down
Ophio5|1140,XA68_11134,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Down,Down,Down
Ophio5|1141,XA68_11135,,,,NA,Down,Down,Down
Ophio5|1142,XA68_11136,,,,NA,Down,Down,Down
Ophio5|1143,XA68_11137,GO:0008270|zinc ion binding,PF01529.15|zf-DHHC,,4,Up,Up,Down
Ophio5|1144,XA68_11138,GO:0006289|nucleotide-excision repair;GO:0005634|nucleus;GO:0003684|damaged DNA binding,PF03835.10|Rad4;PF01841.14|Transglut_core,,NA,Up,Up,Up
Ophio5|1145,XA68_11139,,,,NA,Up,Up,Up
Ophio5|1146,XA68_11140,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Up
Ophio5|1147,XA68_11141,,PF13091.1|PLDc_2,,NA,Down,Up,Up
Ophio5|1148,XA68_11142,GO:0030131|clathrin adaptor complex;GO:0005515|protein binding;GO:0006886|intracellular protein transport;GO:0016192|vesicle-mediated transport,PF00928.16|Adap_comp_sub;PF01217.15|Clat_adaptor_s,,NA,Up,Up,Down
Ophio5|1149,XA68_11143,,,,NA,Down,Down,Down
Ophio5|115,XA68_10114,"GO:0016887|ATPase activity;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;GO:0006810|transport",PF00664.18|ABC_membrane;PF00664.18|ABC_membrane;PF00005.22|ABC_tran;PF00005.22|ABC_tran,,11,Up,Up,Down
Ophio5|1150,XA68_11144,GO:0008276|protein methyltransferase activity;GO:0008610|lipid biosynthetic process;GO:0008152|metabolic process;GO:0006479|protein methylation;GO:0005737|cytoplasm;GO:0008168|methyltransferase activity,PF13489.1|Methyltransf_23;PF13847.1|Methyltransf_31;PF08241.7|Methyltransf_11;PF08242.7|Methyltransf_12;PF12847.2|Methyltransf_18;PF13659.1|Methyltransf_26;PF13649.1|Methyltransf_25;PF08003.6|Methyltransf_9;PF06325.8|PrmA;PF01209.13|Ubie_methyltran;PF05175.9|MTS;PF02353.15|CMAS,,NA,Up,Up,Up
Ophio5|1151,XA68_11145,,PF04734.8|Ceramidase_alk,,1,Down,Down,Down
Ophio5|1152,XA68_11146,,PF01803.11|LIM_bind,,NA,Down,Down,Down
Ophio5|1153,XA68_11147,,,,2,Down,Down,Down
Ophio5|1154,XA68_11148,GO:0006000|fructose metabolic process;GO:0003873|6-phosphofructo-2-kinase activity;GO:0005524|ATP binding,PF01591.13|6PF2K;PF00300.17|His_Phos_1;PF13671.1|AAA_33,,NA,Down,Down,Down
Ophio5|1155,XA68_11149,GO:0006508|proteolysis;GO:0004190|aspartic-type endopeptidase activity,PF00026.18|Asp,SignalP: has predicted secretion signal,NA,Down,Down,Down
Ophio5|1156,XA68_11150,,,,NA,Down,Down,Down
Ophio5|1157,XA68_11151,GO:0003723|RNA binding,PF00013.24|KH_1;PF00013.24|KH_1;PF00013.24|KH_1;PF13014.1|KH_3;PF13014.1|KH_3;PF13014.1|KH_3,,NA,Up,Down,Down
Ophio5|1158,XA68_11152,,,,NA,Down,Down,Down
Ophio5|1159,XA68_11153,GO:0005515|protein binding,PF11816.3|DUF3337;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40,,NA,Up,Up,Down
Ophio5|116,XA68_10115,,,,NA,Up,Up,Down
Ophio5|1160,XA68_11154,,PF00153.22|Mito_carr;PF00153.22|Mito_carr;PF00153.22|Mito_carr,,NA,Up,Up,Down
Ophio5|1161,XA68_11155,,,,NA,Down,Down,Down
Ophio5|1162,XA68_11156,,PF14618.1|DUF4452,,NA,Up,Down,Down
Ophio5|1163,XA68_11157,,,,NA,Up,Down,Down
Ophio5|1164,XA68_11158,,PF00134.18|Cyclin_N,,NA,Up,Up,Down
Ophio5|1165,XA68_11159,GO:0005509|calcium ion binding,PF00153.22|Mito_carr;PF00153.22|Mito_carr;PF00153.22|Mito_carr;PF13499.1|EF-hand_7;PF13499.1|EF-hand_7;PF00036.27|EF-hand_1;PF13405.1|EF-hand_6;PF13405.1|EF-hand_6;PF13202.1|EF-hand_5;PF13202.1|EF-hand_5;PF13202.1|EF-hand_5;PF13833.1|EF-hand_8;PF13833.1|EF-hand_8,,NA,Down,Up,Up
Ophio5|1166,XA68_11160,,,,NA,Up,Down,Down
Ophio5|1167,XA68_11161,,PF01171.15|ATP_bind_3;PF01171.15|ATP_bind_3,,NA,Up,Up,Down
Ophio5|1168,XA68_11162,,,,NA,Down,Down,Down
Ophio5|1169,XA68_11163,GO:0016020|membrane,PF04893.12|Yip1,,5,Down,Down,Up
Ophio5|117,XA68_10116,GO:0007031|peroxisome organization;GO:0005779|integral component of peroxisomal membrane,PF04882.7|Peroxin-3,,2,Down,Up,Up
Ophio5|1170,XA68_11164,,,,NA,Up,Down,Down
Ophio5|1171,XA68_11165,,PF03416.14|Peptidase_C54,,NA,Down,Down,Down
Ophio5|1172,XA68_11166,,PF10224.4|DUF2205,,NA,Up,Up,Down
Ophio5|1173,XA68_11167,,PF05686.7|Glyco_transf_90,,1,Up,Up,Down
Ophio5|1174,XA68_11168,,,,NA,Up,Up,Down
Ophio5|1175,XA68_11169,GO:0008270|zinc ion binding,PF01428.11|zf-AN1,,NA,Up,Up,Down
Ophio5|1176,XA68_11170,GO:0003677|DNA binding;GO:0006284|base-excision repair,PF00730.20|HhH-GPD;PF00633.18|HHH,,NA,Up,Up,Down
Ophio5|1177,XA68_11171,"GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding",PF00067.17|p450,SignalP: has predicted secretion signal,2,Up,Up,Down
Ophio5|1178,XA68_11172,GO:0016491|oxidoreductase activity;GO:0008270|zinc ion binding;GO:0055114|oxidation-reduction process,PF08240.7|ADH_N;PF00107.21|ADH_zinc_N,,NA,Down,Down,Up
Ophio5|1179,XA68_11173,,,,NA,Up,Up,Down
Ophio5|118,XA68_10117,GO:0006888|ER to Golgi vesicle-mediated transport;GO:0005801|cis-Golgi network,PF04099.7|Sybindin,,NA,Up,Up,Up
Ophio5|1180,XA68_11174,,PF07575.8|Nucleopor_Nup85,,NA,Up,Up,Up
Ophio5|1181,XA68_11175,GO:0008152|metabolic process,PF00330.15|Aconitase;PF00694.14|Aconitase_C,,NA,Up,Up,Up
Ophio5|1182,XA68_11176,,,,NA,Down,Down,Up
Ophio5|1183,XA68_11177,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Down,Down,Up
Ophio5|1184,XA68_11178,GO:0005525|GTP binding;GO:0003924|GTPase activity,PF00350.18|Dynamin_N;PF01031.15|Dynamin_M;PF02212.13|GED,,NA,Down,Down,Down
Ophio5|1185,XA68_11179,,PF09495.5|DUF2462,,NA,Up,Up,Down
Ophio5|1186,XA68_11180,GO:0020037|heme binding,PF00173.23|Cyt-b5,,NA,Up,Up,Down
Ophio5|1187,XA68_11181,GO:0006508|proteolysis;GO:0004222|metalloendopeptidase activity;GO:0016020|membrane,PF01435.13|Peptidase_M48,,2,Up,Down,Down
Ophio5|1188,XA68_11182,,,,NA,Down,Down,Down
Ophio5|1189,XA68_11183,,PF10270.4|MMgT,SignalP: has predicted secretion signal,2,Down,Down,Down
Ophio5|119,XA68_10118,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr;PF14531.1|Kinase-like,,NA,Down,Down,Up
Ophio5|1190,XA68_11184,GO:0005975|carbohydrate metabolic process;GO:0004650|polygalacturonase activity,PF00295.12|Glyco_hydro_28,SignalP: has predicted secretion signal,NA,Down,Down,Up
