arb2_gene,gene_name,blast_annot,GOs,pfams,signalP,SSP,TMHMM,sc16a_homolog
Ophcf2|00011,GQ602_000011,Acetamidase,NA,PF01425|Amidase;,NA,NA,NA,Ophio5|5995
Ophcf2|00012,GQ602_000012,"peptidase S33, tripeptidyl-peptidase",NA,PF00561|Abhydrolase_1; PF08386|Abhydrolase_4;,Has signal peptide;,NA,NA,Ophio5|5996
Ophcf2|00013,GQ602_000013,GATA zinc finger domain-containing protein 14-like,NA,NA,Has signal peptide;,NA,NA,Ophio5|5997
Ophcf2|00014,GQ602_000014,sulfatase domain protein,"GO:0003824|catalytic activity; GO:0016787|hydrolase activity; GO:0003674|molecular_function; GO:0016788|hydrolase activity, acting on ester bonds; GO:0008484|sulfuric ester hydrolase activity;",PF00884|Sulfatase;,NA,NA,5;,Ophio5|5998
Ophcf2|00015,GQ602_000015,Baeyer-Villiger monooxygenase,"GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0005488|binding; GO:0055114|oxidation-reduction process; GO:0048037|cofactor binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0003824|catalytic activity; GO:0016491|oxidoreductase activity; GO:0004499|N,N-dimethylaniline monooxygenase activity; GO:0050661|NADP binding; GO:0016709|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; GO:1901265|nucleoside phosphate binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0004497|monooxygenase activity; GO:0008152|metabolic process;",PF00743|FMO-like; PF13450|NAD_binding_8; PF13434|K_oxygenase; PF07992|Pyr_redox_2;,NA,NA,NA,Ophio5|4092
Ophcf2|00016,GQ602_000016,hexose transporter-like protein,GO:0022857|transmembrane transporter activity; GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0003674|molecular_function; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0016021|integral component of membrane; GO:0051179|localization; GO:0005215|transporter activity; GO:0055085|transmembrane transport;,PF07690|MFS_1; PF00083|Sugar_tr;,NA,NA,12;,Ophio5|4091
Ophcf2|00017,GQ602_000017,hypothetical protein CDD80_2801,NA,NA,Has signal peptide;,Small secreted protein;,NA,NA
Ophcf2|00018,GQ602_000018,heat-labile enterotoxin subunit alpha,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,NA,NA,NA,Ophio5|4090
Ophcf2|00019,GQ602_000019,phospholipase D precursor,NA,NA,Has signal peptide;,NA,NA,NA
Ophcf2|00020,GQ602_000020,amidohydrolase,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF01979|Amidohydro_1;,Has signal peptide;,NA,NA,Ophio5|4078
Ophcf2|00021,GQ602_000021,Serine/threonine-protein kinase domain protein,NA,NA,NA,NA,NA,Ophio5|4079
Ophcf2|00022,GQ602_000022,"alpha-1,2-mannosidase family protein","GO:0003824|catalytic activity; GO:0016740|transferase activity; GO:0003674|molecular_function; GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups; GO:0016746|transferase activity, transferring acyl groups;",PF02458|Transferase;,NA,NA,NA,Ophio5|4080
Ophcf2|00023,GQ602_000023,Clavaminate synthase-like protein,GO:0003824|catalytic activity; GO:0055114|oxidation-reduction process; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0008152|metabolic process;,PF02668|TauD;,NA,NA,NA,Ophio5|4081
Ophcf2|00024,GQ602_000024,DUF341 domain-containing protein,NA,PF03959|FSH1;,NA,NA,NA,Ophio5|4082
Ophcf2|00025,GQ602_000025,serine hydrolase FSH,NA,NA,NA,NA,NA,Ophio5|4082
Ophcf2|00026,GQ602_000026,polyketide synthase,"GO:0003824|catalytic activity; GO:0016741|transferase activity, transferring one-carbon groups; GO:0008168|methyltransferase activity; GO:0055114|oxidation-reduction process; GO:0016740|transferase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0008152|metabolic process;",PF13847|Methyltransf_31; PF13489|Methyltransf_23; PF00698|Acyl_transf_1; PF13649|Methyltransf_25; PF01209|Ubie_methyltran; PF08240|ADH_N; PF00107|ADH_zinc_N; PF00109|ketoacyl-synt; PF00550|PP-binding; PF08241|Methyltransf_11; PF02801|Ketoacyl-synt_C; PF00106|adh_short; PF08242|Methyltransf_12; PF13602|ADH_zinc_N_2; PF16197|KAsynt_C_assoc; PF08659|KR; PF14765|PS-DH;,NA,NA,NA,Ophio5|4083
Ophcf2|00027,GQ602_000027,Cytochrome P450 4V2,"GO:0003824|catalytic activity; GO:0005506|iron ion binding; GO:0005488|binding; GO:0046906|tetrapyrrole binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0055114|oxidation-reduction process; GO:0046872|metal ion binding; GO:0003674|molecular_function; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0016491|oxidoreductase activity; GO:0008150|biological_process; GO:0043167|ion binding; GO:0043169|cation binding; GO:0046914|transition metal ion binding; GO:0020037|heme binding; GO:0008152|metabolic process; GO:1901363|heterocyclic compound binding;",PF00067|p450;,NA,NA,1;,Ophio5|4084
Ophcf2|00028,GQ602_000028,cytochrome b/b6/petB-like protein,NA,NA,Has signal peptide;,NA,5;,Ophio5|4087
Ophcf2|00029,GQ602_000029,endothelin-converting enzyme 1,"GO:0003824|catalytic activity; GO:0140096|catalytic activity, acting on a protein; GO:0043170|macromolecule metabolic process; GO:0016787|hydrolase activity; GO:0004222|metalloendopeptidase activity; GO:0006807|nitrogen compound metabolic process; GO:0003674|molecular_function; GO:0004175|endopeptidase activity; GO:0006508|proteolysis; GO:0019538|protein metabolic process; GO:0008150|biological_process; GO:0008233|peptidase activity; GO:0071704|organic substance metabolic process; GO:1901564|organonitrogen compound metabolic process; GO:0070011|peptidase activity, acting on L-amino acid peptides; GO:0044238|primary metabolic process; GO:0008237|metallopeptidase activity; GO:0008152|metabolic process;",PF01431|Peptidase_M13; PF05649|Peptidase_M13_N;,NA,NA,NA,Ophio5|4088
Ophcf2|00030,GQ602_000030,hypothetical protein CDD80_2632,NA,NA,Has signal peptide;,Small secreted protein;,NA,Ophio5|2573
Ophcf2|00031,GQ602_000031,hypothetical protein CDD80_2634,NA,NA,NA,NA,1;,Ophio5|2572
Ophcf2|00032,GQ602_000032,Phosphatidylinositol-glycan biosynthesis class S protein,GO:0005575|cellular_component; GO:0006464|cellular protein modification process; GO:0044425|membrane part; GO:0042765|GPI-anchor transamidase complex; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0043412|macromolecule modification; GO:0032991|protein-containing complex; GO:0044267|cellular protein metabolic process; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0044464|cell part; GO:0044446|intracellular organelle part; GO:0019538|protein metabolic process; GO:0044422|organelle part; GO:0044238|primary metabolic process; GO:0098796|membrane protein complex; GO:0036211|protein modification process; GO:0008150|biological_process; GO:0044444|cytoplasmic part; GO:1901564|organonitrogen compound metabolic process; GO:1902494|catalytic complex; GO:0008152|metabolic process; GO:0044432|endoplasmic reticulum part; GO:0016255|attachment of GPI anchor to protein;,PF10510|PIG-S;,NA,NA,2;,Ophio5|2571
Ophcf2|00033,GQ602_000033,hypothetical protein CDD80_2636,NA,NA,Has signal peptide;,Small secreted protein;,NA,Ophio5|2570
Ophcf2|00034,GQ602_000034,GPI transamidase component PIG-S,NA,NA,NA,NA,NA,Ophio5|2566
Ophcf2|00035,GQ602_000035,retinal dehydrogenase 2,GO:0003824|catalytic activity; GO:0055114|oxidation-reduction process; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0008152|metabolic process;,PF00171|Aldedh;,NA,NA,NA,Ophio5|2565
Ophcf2|00036,GQ602_000036,amino acid permease family protein,GO:0022857|transmembrane transporter activity; GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0006810|transport; GO:0008150|biological_process; GO:0016020|membrane; GO:0051179|localization; GO:0005215|transporter activity; GO:0055085|transmembrane transport;,PF13520|AA_permease_2; PF00324|AA_permease;,NA,NA,11;,Ophio5|2564
Ophcf2|00037,GQ602_000037,myb family transcription factor,NA,NA,NA,NA,NA,Ophio5|2563
Ophcf2|00038,GQ602_000038,"protoheme IX farnesyltransferase, mitochondrial","GO:0003824|catalytic activity; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016740|transferase activity; GO:0003674|molecular_function; GO:0031224|intrinsic component of membrane; GO:0016021|integral component of membrane; GO:0016765|transferase activity, transferring alkyl or aryl (other than methyl) groups;",PF01040|UbiA;,NA,NA,5;,Ophio5|2562
Ophcf2|00039,GQ602_000039,---NA---,NA,NA,NA,NA,NA,NA
Ophcf2|00040,GQ602_000040,protein related to integral membrane protein PTH11,NA,NA,NA,NA,7;,Ophio5|2561
Ophcf2|00041,GQ602_000041,short chain dehydrogenase,NA,PF00106|adh_short; PF13561|adh_short_C2;,NA,NA,1;,Ophio5|2560
Ophcf2|00042,GQ602_000042,retinol dehydrogenase protein,NA,NA,NA,NA,8;,Ophio5|2559
Ophcf2|00043,GQ602_000043,phosphatidylserine decarboxylase,GO:0003674|molecular_function; GO:0008654|phospholipid biosynthetic process; GO:0044255|cellular lipid metabolic process; GO:0006644|phospholipid metabolic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0006629|lipid metabolic process; GO:0016829|lyase activity; GO:0044237|cellular metabolic process; GO:0003824|catalytic activity; GO:0008610|lipid biosynthetic process; GO:0006796|phosphate-containing compound metabolic process; GO:0004609|phosphatidylserine decarboxylase activity; GO:0016831|carboxy-lyase activity; GO:0016830|carbon-carbon lyase activity; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:0006793|phosphorus metabolic process; GO:0019637|organophosphate metabolic process; GO:0008150|biological_process; GO:0090407|organophosphate biosynthetic process; GO:0044249|cellular biosynthetic process; GO:1901576|organic substance biosynthetic process; GO:0008152|metabolic process;,PF02666|PS_Dcarbxylase; PF12588|PSDC;,Has signal peptide;,NA,NA,Ophio5|2558
Ophcf2|00044,GQ602_000044,DNA mismatch repair protein msh6,GO:0006950|response to stress; GO:0035639|purine ribonucleoside triphosphate binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0008144|drug binding; GO:0005488|binding; GO:0003690|double-stranded DNA binding; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006259|DNA metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0006974|cellular response to DNA damage stimulus; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0033554|cellular response to stress; GO:0017076|purine nucleotide binding; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0006281|DNA repair; GO:1901265|nucleoside phosphate binding; GO:0051716|cellular response to stimulus; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0006298|mismatch repair; GO:0030983|mismatched DNA binding; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0050896|response to stimulus; GO:0008152|metabolic process; GO:0030554|adenyl nucleotide binding;,PF05188|MutS_II; PF05192|MutS_III; PF05190|MutS_IV; PF00488|MutS_V; PF01624|MutS_I;,NA,NA,NA,Ophio5|2556
Ophcf2|00045,GQ602_000045,related to diphthamide synthesis protein DPH2,NA,PF01866|Diphthamide_syn;,NA,NA,NA,Ophio5|2555
Ophcf2|00046,GQ602_000046,membrane-associating domain-containing protein,NA,NA,NA,NA,3;,Ophio5|2554
Ophcf2|00047,GQ602_000047,predicted protein,GO:0005575|cellular_component; GO:0016020|membrane;,PF01284|MARVEL;,NA,NA,4;,Ophio5|2553
Ophcf2|00048,GQ602_000048,minor allergen Alt a 7,GO:0003824|catalytic activity; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function;,PF02525|Flavodoxin_2; PF03358|FMN_red;,NA,NA,NA,Ophio5|2552
Ophcf2|00049,GQ602_000049,glycerophosphoryl diester phosphodiesterase,"GO:0003824|catalytic activity; GO:0016787|hydrolase activity; GO:0008081|phosphoric diester hydrolase activity; GO:0003674|molecular_function; GO:0016788|hydrolase activity, acting on ester bonds; GO:0008150|biological_process; GO:0071704|organic substance metabolic process; GO:0006629|lipid metabolic process; GO:0044238|primary metabolic process; GO:0042578|phosphoric ester hydrolase activity; GO:0008152|metabolic process;",PF03009|GDPD;,Has signal peptide;,NA,NA,Ophio5|2551
Ophcf2|00050,GQ602_000050,glycoside hydrolase family 18 protein,GO:0008150|biological_process; GO:0005975|carbohydrate metabolic process; GO:0071704|organic substance metabolic process; GO:0044238|primary metabolic process; GO:0008152|metabolic process;,PF00704|Glyco_hydro_18;,Has signal peptide;,NA,1;,Ophio5|2550
Ophcf2|00051,GQ602_000051,WD repeat-containing protein JIP5,NA,NA,NA,NA,NA,Ophio5|2549
Ophcf2|00052,GQ602_000052,maleylacetate reductase,GO:0003824|catalytic activity; GO:0005488|binding; GO:0055114|oxidation-reduction process; GO:0046872|metal ion binding; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0043167|ion binding; GO:0043169|cation binding; GO:0008152|metabolic process;,PF00465|Fe-ADH;,NA,NA,NA,Ophio5|2548
Ophcf2|00053,GQ602_000053,"mRNA capping enzyme, beta subunit, structural domain protein","GO:0003824|catalytic activity; GO:0004651|polynucleotide 5'-phosphatase activity; GO:0016787|hydrolase activity; GO:0003674|molecular_function; GO:0016788|hydrolase activity, acting on ester bonds; GO:0098518|polynucleotide phosphatase activity; GO:0016791|phosphatase activity; GO:0042578|phosphoric ester hydrolase activity;",PF02940|mRNA_triPase;,NA,NA,NA,Ophio5|2547
Ophcf2|00054,GQ602_000054,26S proteasome regulatory subunit rpn2,NA,PF13646|HEAT_2; PF01851|PC_rep; PF18004|RPN2_C;,NA,NA,NA,Ophio5|2546
Ophcf2|00055,GQ602_000055,Sulfite oxidase,GO:0043436|oxoacid metabolic process; GO:0003674|molecular_function; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0005488|binding; GO:0055114|oxidation-reduction process; GO:0006807|nitrogen compound metabolic process; GO:0044237|cellular metabolic process; GO:0006082|organic acid metabolic process; GO:0043167|ion binding; GO:0003824|catalytic activity; GO:0016491|oxidoreductase activity; GO:0044281|small molecule metabolic process; GO:0042128|nitrate assimilation; GO:0043169|cation binding; GO:0042126|nitrate metabolic process; GO:2001057|reactive nitrogen species metabolic process; GO:0071941|nitrogen cycle metabolic process; GO:0046872|metal ion binding; GO:0008150|biological_process; GO:0030151|molybdenum ion binding; GO:0046914|transition metal ion binding; GO:0008152|metabolic process;,PF00174|Oxidored_molyb; PF03404|Mo-co_dimer; PF00173|Cyt-b5;,NA,NA,NA,Ophio5|2545
Ophcf2|00056,GQ602_000056,F-box domain-containing protein,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF12014|DUF3506; PF00646|F-box;,NA,NA,NA,Ophio5|2544
Ophcf2|00057,GQ602_000057,UPF0590 protein,NA,PF08588|DUF1769;,NA,NA,NA,Ophio5|2543
Ophcf2|00058,GQ602_000058,drug transporter,NA,NA,Has signal peptide;,NA,1;,Ophio5|2542
Ophcf2|00059,GQ602_000059,"Major facilitator superfamily domain, general substrate transporter",GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0022857|transmembrane transporter activity; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0003674|molecular_function; GO:0051179|localization; GO:0005215|transporter activity; GO:0055085|transmembrane transport;,PF00083|Sugar_tr; PF07690|MFS_1;,NA,NA,11;,Ophio5|7533
Ophcf2|00060,GQ602_000060,DUF757 domain-containing protein,NA,PF04669|Polysacc_synt_4;,NA,NA,NA,Ophio5|2540
Ophcf2|00061,GQ602_000061,ABC a-pheromone efflux pump AtrD,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0005575|cellular_component; GO:0097159|organic cyclic compound binding; GO:0044425|membrane part; GO:0003674|molecular_function; GO:0042623|ATPase activity, coupled; GO:0032553|ribonucleotide binding; GO:0016887|ATPase activity; GO:0008144|drug binding; GO:0022857|transmembrane transporter activity; GO:0005488|binding; GO:0016787|hydrolase activity; GO:0042626|ATPase activity, coupled to transmembrane movement of substances; GO:0016462|pyrophosphatase activity; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0030554|adenyl nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0022804|active transmembrane transporter activity; GO:0003824|catalytic activity; GO:0051234|establishment of localization; GO:0017111|nucleoside-triphosphatase activity; GO:0017076|purine nucleotide binding; GO:0015405|P-P-bond-hydrolysis-driven transmembrane transporter activity; GO:0006810|transport; GO:0005524|ATP binding; GO:0043492|ATPase activity, coupled to movement of substances; GO:0032559|adenyl ribonucleotide binding; GO:0051179|localization; GO:1901265|nucleoside phosphate binding; GO:0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0016021|integral component of membrane; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0036094|small molecule binding; GO:0005215|transporter activity; GO:0055085|transmembrane transport; GO:0016817|hydrolase activity, acting on acid anhydrides; GO:0015399|primary active transmembrane transporter activity;",PF00664|ABC_membrane; PF00005|ABC_tran;,NA,NA,9;,Ophio5|4076
Ophcf2|00062,GQ602_000062,"calcium-translocating P-type ATPase, PMCA-type",NA,PF00689|Cation_ATPase_C; PF00690|Cation_ATPase_N; PF13246|Cation_ATPase; PF00122|E1-E2_ATPase; PF00702|Hydrolase;,NA,NA,8;,Ophio5|4075
Ophcf2|00063,GQ602_000063,Purine nucleoside permease,GO:0051234|establishment of localization; GO:0006810|transport; GO:0008150|biological_process; GO:0051179|localization; GO:0055085|transmembrane transport;,PF06516|NUP;,NA,NA,NA,Ophio5|4074
Ophcf2|00064,GQ602_000064,calcium-dependent protein kinase,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0006464|cellular protein modification process; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0016772|transferase activity, transferring phosphorus-containing groups; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0016301|kinase activity; GO:0006468|protein phosphorylation; GO:0008144|drug binding; GO:0044267|cellular protein metabolic process; GO:0043412|macromolecule modification; GO:0140096|catalytic activity, acting on a protein; GO:0005488|binding; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003824|catalytic activity; GO:0006796|phosphate-containing compound metabolic process; GO:0017076|purine nucleotide binding; GO:0019538|protein metabolic process; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:0004672|protein kinase activity; GO:0044238|primary metabolic process; GO:0036211|protein modification process; GO:1901265|nucleoside phosphate binding; GO:0006793|phosphorus metabolic process; GO:0016740|transferase activity; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0016310|phosphorylation; GO:1901564|organonitrogen compound metabolic process; GO:0016773|phosphotransferase activity, alcohol group as acceptor; GO:0008152|metabolic process; GO:0030554|adenyl nucleotide binding;",PF00069|Pkinase; PF07714|Pkinase_Tyr;,NA,NA,NA,Ophio5|3194
